time_s,lat,lon,alt,grav_x,grav_y,grav_z
0.0,30.0111368,30.9869882,173.265,0.039063692129276406,0.009277626880703146,0.9991760002441481
0.1,30.0111369,30.9869885,173.238,0.020477919858394117,0.01803643910031434,0.999603259376812
0.2,30.0111372,30.9869892,173.302,0.016693624683370465,0.025391399884029664,0.9995117038483841
0.3,30.0111373,30.9869891,173.299,0.012268440809350871,0.027314065981017488,0.99954222235786
0.4,30.0111372,30.9869884,173.211,-0.005035554063539537,0.043122653889584035,0.9990539262062441
0.5,30.0111373,30.9869892,173.219,-0.008178960539567248,0.05642872402111881,0.9983520004882962
0.6,30.0111375,30.9869897,173.271,-0.012848292489394819,0.06445509201330607,0.9978331858272041
0.7,30.0111375,30.9869896,173.245,-0.0163274025696585,0.06295968504898221,0.9978637043366801
0.8,30.0111374,30.9869892,173.214,-0.015961180455946532,0.07498397778252511,0.9970397045808282
0.9,30.0111382,30.9869914,173.365,-0.009216589861751152,0.09796441541795099,0.9951170384838405
1.0,30.0111383,30.9869926,173.382,-0.00827051606799524,0.12854396191290018,0.9916684469130528
1.1,30.0111382,30.9869924,173.306,-0.009521774956511124,0.1389812921536912,0.9902340769676808
1.2,30.0111381,30.9869909,173.231,-0.0012512588885158849,0.15820795312356944,0.9873958555864132
1.3,30.0111386,30.9869923,173.328,-0.0015564439832758568,0.16382335886715294,0.9864803003021333
1.4,30.0111384,30.9869925,173.293,0.0021057771538438063,0.1673329874568926,0.9858699301126133
1.5,30.0111382,30.9869915,173.171,0.002380443739127781,0.16534928434095278,0.9862056337168492
1.6,30.0111384,30.9869918,173.206,0.00619525742362743,0.15598010193182166,0.9877315591906491
1.7,30.0111387,30.9869912,173.171,0.00793481246375927,0.15475936155278175,0.9879146702475051
1.8,30.0111391,30.9869926,173.259,0.007110812707907346,0.15073091830195012,0.988525040437025
1.9,30.0111391,30.9869922,173.219,0.005523850215155492,0.14712973418378247,0.989074373607593
2.0,30.0111394,30.9869932,173.28,0.009552293465987122,0.14728232673116246,0.989043855098117
2.1,30.0111393,30.9869926,173.236,0.011688589129306926,0.15060884426404614,0.988494521927549
2.2,30.0111394,30.9869924,173.223,0.008301034577471236,0.15845210119937742,0.9873043000579852
2.3,30.0111398,30.9869941,173.359,0.011505478072450942,0.1706900234992523,0.9852290414136173
2.4,30.0111396,30.9869924,173.263,0.01803643910031434,0.18976409192175053,0.9816583758049257
2.5,30.0111395,30.9869925,173.289,0.021698660237434005,0.19931638538773766,0.9796746726889859
2.6,30.0111397,30.9869929,173.315,0.024811548203985716,0.2074343089083529,0.977904599139378
2.7,30.0111393,30.9869922,173.254,0.021698660237434005,0.21057771538438064,0.9773247474593341
2.8,30.0111395,30.9869921,173.285,0.019989623706778162,0.21131015961180455,0.9772026734214301
2.9,30.0111393,30.9869917,173.228,0.02414014099551378,0.21051667836542864,0.9772637104403821
3.0,30.0111396,30.9869929,173.312,0.032135990478225046,0.20453505050813317,0.978301339762566
3.1,30.0111397,30.9869928,173.325,0.033295693838312934,0.2020630512405774,0.978789635914182
3.2,30.0111397,30.9869928,173.348,0.03439436017944884,0.21243934446241647,0.9765617847224342
3.3,30.0111402,30.986994,173.43,0.04031495101779229,0.21369060335093235,0.9760429700613422
